SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,6,1,30,N/A,309.46,9.3,-5.93,95860,N/A
2013,1,6,2,30,N/A,313.11,9.120000000000001,-6.78,95920,N/A
2013,1,6,3,30,N/A,313.56,9.09,-7.19,95970,N/A
2013,1,6,4,30,N/A,313.12,8.8,-7.2700000000000005,96030,N/A
2013,1,6,5,30,N/A,315.53000000000003,9.71,-7.16,96100,N/A
2013,1,6,6,30,N/A,316.22,10.89,-6.8,96190,N/A
2013,1,6,7,30,N/A,318.54,10.97,-7.04,96280,N/A
2013,1,6,8,30,N/A,323.63,10.620000000000001,-7.23,96370,N/A
2013,1,6,9,30,N/A,321.94,8.14,-6.9,96460,N/A
2013,1,6,10,30,N/A,316.39,7.53,-6.18,96520,N/A
2013,1,6,11,30,N/A,314.93,7.1000000000000005,-5.44,96570,N/A
2013,1,6,12,30,N/A,311.81,6.13,-4.78,96630,N/A
2013,1,6,13,30,N/A,306.37,5.53,-4.2700000000000005,96690,N/A
2013,1,6,14,30,N/A,299.97,4.69,-3.98,96740,N/A
2013,1,6,15,30,N/A,289.67,4.57,-4.07,96790,N/A
2013,1,6,16,30,N/A,286,5.28,-4.28,96830,N/A
2013,1,6,17,30,N/A,286.13,5.32,-4.3,96870,N/A
2013,1,6,18,30,N/A,286.81,5.39,-4.3,96900,N/A
2013,1,6,19,30,N/A,267.91,5.48,-4.59,96920,N/A
2013,1,6,20,30,N/A,258.41,5.8500000000000005,-4.97,96910,N/A
2013,1,6,21,30,N/A,235.65,6.63,-5.54,96900,N/A
2013,1,6,22,30,N/A,222.69,7.88,-5.83,96870,N/A
2013,1,6,23,30,N/A,215.62,8.61,-5.74,96850,N/A
2013,1,7,0,30,N/A,205.25,10.02,-5.6000000000000005,96820,N/A
2013,1,7,1,30,N/A,202.43,11.09,-6.12,96810,N/A
2013,1,7,2,30,N/A,199.27,11.96,-6.0200000000000005,96770,N/A
2013,1,7,3,30,N/A,196.5,12.530000000000001,-6.34,96730,N/A
2013,1,7,4,30,N/A,196.68,13.21,-6.140000000000001,96680,N/A
2013,1,7,5,30,N/A,197.87,14.09,-5.76,96640,N/A
2013,1,7,6,30,N/A,199.16,14.57,-5.49,96600,N/A
2013,1,7,7,30,N/A,200.93,15.17,-5.43,96560,N/A
2013,1,7,8,30,N/A,200.38,13.23,-5.03,96560,N/A
2013,1,7,9,30,N/A,196.96,13.72,-4.49,96500,N/A
2013,1,7,10,30,N/A,200.96,12.59,-3.2600000000000002,96430,N/A
2013,1,7,11,30,N/A,203.79,11.49,-1.82,96380,N/A
2013,1,7,12,30,N/A,211.05,12.24,-0.47000000000000003,96290,N/A
2013,1,7,13,30,N/A,215.62,11.34,0.38,96270,N/A
2013,1,7,14,30,N/A,213.27,11.8,0.8200000000000001,96210,N/A
2013,1,7,15,30,N/A,210.43,10.66,0.65,96220,N/A
2013,1,7,16,30,N/A,203.9,11.65,0.33,96210,N/A
2013,1,7,17,30,N/A,205.73000000000002,11.31,0,96240,N/A
2013,1,7,18,30,N/A,207.4,11.78,-0.16,96250,N/A
2013,1,7,19,30,N/A,213.4,12.030000000000001,-0.22,96250,N/A
2013,1,7,20,30,N/A,216.14000000000001,11.11,-0.46,96240,N/A
2013,1,7,21,30,N/A,217.42000000000002,10.39,-0.54,96240,N/A
2013,1,7,22,30,N/A,222.1,10.23,-0.44,96230,N/A
2013,1,7,23,30,N/A,219.16,9.28,-0.91,96250,N/A
2013,1,8,0,30,N/A,221.33,8.35,-1.06,96270,N/A
2013,1,8,1,30,N/A,226.5,8.56,-0.72,96260,N/A
2013,1,8,2,30,N/A,227.14000000000001,7.930000000000001,-0.78,96260,N/A
2013,1,8,3,30,N/A,227.54,6.87,-0.75,96280,N/A
2013,1,8,4,30,N/A,216.26,7.55,-0.19,96280,N/A
2013,1,8,5,30,N/A,210.83,6.42,-0.8200000000000001,96300,N/A
2013,1,8,6,30,N/A,200.19,5.58,-0.89,96330,N/A
2013,1,8,7,30,N/A,190.45000000000002,6.390000000000001,-1.03,96320,N/A
2013,1,8,8,30,N/A,180.3,7.53,-1.22,96290,N/A
2013,1,8,9,30,N/A,170.88,7.18,-2.02,96290,N/A
2013,1,8,10,30,N/A,170.92000000000002,6.73,-0.76,96240,N/A
2013,1,8,11,30,N/A,168.78,7.4,0.55,96200,N/A
2013,1,8,12,30,N/A,171.18,8.57,1.72,96140,N/A
2013,1,8,13,30,N/A,172.97,9.71,2.31,96100,N/A
2013,1,8,14,30,N/A,173.77,10.76,2.32,96050,N/A
2013,1,8,15,30,N/A,172.38,11.65,2.18,95970,N/A
2013,1,8,16,30,N/A,172.24,13.200000000000001,1.9000000000000001,95960,N/A
2013,1,8,17,30,N/A,177.09,14.33,1.58,95930,N/A
2013,1,8,18,30,N/A,184.88,12.5,1.68,95970,N/A
2013,1,8,19,30,N/A,194.82,13.32,1.6500000000000001,95980,N/A
2013,1,8,20,30,N/A,203.87,14.35,1.58,95950,N/A
2013,1,8,21,30,N/A,208.87,14.92,1.75,95910,N/A
2013,1,8,22,30,N/A,218.89000000000001,14.24,1.99,95920,N/A
2013,1,8,23,30,N/A,227.9,13.34,1.6600000000000001,95960,N/A
2013,1,9,0,30,N/A,236.89000000000001,12.91,1.19,96010,N/A
2013,1,9,1,30,N/A,253.86,12.81,0.46,96060,N/A
2013,1,9,2,30,N/A,262.64,13.16,0.28,96170,N/A
2013,1,9,3,30,N/A,266.17,14.040000000000001,0.56,96240,N/A
2013,1,9,4,30,N/A,266.08,12.72,0.31,96350,N/A
2013,1,9,5,30,N/A,268.36,12.25,-0.14,96500,N/A
2013,1,9,6,30,N/A,263.16,12.32,-0.19,96600,N/A
2013,1,9,7,30,N/A,261.33,11.98,-0.66,96690,N/A
2013,1,9,8,30,N/A,266.44,11.71,-0.97,96790,N/A
2013,1,9,9,30,N/A,263.6,9.46,-0.71,96860,N/A
2013,1,9,10,30,N/A,263.71,8.6,0.13,96970,N/A
2013,1,9,11,30,N/A,263.75,10.86,0.73,97010,N/A
2013,1,9,12,30,N/A,256.97,9.63,1.34,97160,N/A
2013,1,9,13,30,N/A,262.1,10.6,1.81,97190,N/A
2013,1,9,14,30,N/A,268.94,9.74,2,97240,N/A
2013,1,9,15,30,N/A,266.1,9.22,1.81,97300,N/A
2013,1,9,16,30,N/A,268.21,10.32,1.72,97390,N/A
2013,1,9,17,30,N/A,280.1,11.31,1.57,97420,N/A
2013,1,9,18,30,N/A,290.58,10.38,1.72,97480,N/A
2013,1,9,19,30,N/A,302.89,8.25,1.77,97520,N/A
2013,1,9,20,30,N/A,311.14,4.84,1.33,97520,N/A
2013,1,9,21,30,N/A,317.94,3.29,2.2600000000000002,97510,N/A
2013,1,9,22,30,N/A,272.84000000000003,1.26,2.8000000000000003,97530,N/A
2013,1,9,23,30,N/A,178.16,2.7600000000000002,2.08,97550,N/A
2013,1,10,0,30,N/A,187.35,5.04,2.27,97590,N/A
2013,1,10,1,30,N/A,177.29,5.79,2.09,97590,N/A
2013,1,10,2,30,N/A,172.05,7.38,0.87,97600,N/A
2013,1,10,3,30,N/A,168.15,8.86,0.98,97580,N/A
2013,1,10,4,30,N/A,168.45000000000002,10.13,0.42,97560,N/A
2013,1,10,5,30,N/A,158.56,10.040000000000001,1.19,97520,N/A
2013,1,10,6,30,N/A,157.07,10.200000000000001,1.54,97480,N/A
2013,1,10,7,30,N/A,151.52,11.27,0.8,97440,N/A
2013,1,10,8,30,N/A,148.69,11.64,0.1,97380,N/A
2013,1,10,9,30,N/A,147.81,9.85,-0.45,97290,N/A
2013,1,10,10,30,N/A,142.3,9.51,0.42,97190,N/A
2013,1,10,11,30,N/A,135.76,7.73,1.68,97090,N/A
2013,1,10,12,30,N/A,133.39000000000001,8.71,2.62,96970,N/A
2013,1,10,13,30,N/A,131.41,8.38,3.2800000000000002,96850,N/A
2013,1,10,14,30,N/A,130.21,9.96,3.59,96750,N/A
2013,1,10,15,30,N/A,123.55,11.93,3.31,96600,N/A
2013,1,10,16,30,N/A,124.44,13.17,2.84,96480,N/A
2013,1,10,17,30,N/A,127.94,14.15,1.77,96350,N/A
2013,1,10,18,30,N/A,130.15,13.63,0.76,96230,N/A
2013,1,10,19,30,N/A,135.27,13.38,0.23,96120,N/A
2013,1,10,20,30,N/A,141.39000000000001,13.42,0.38,96020,N/A
2013,1,10,21,30,N/A,140.35,11.15,0.3,95870,N/A
2013,1,10,22,30,N/A,146.77,10.22,0.33,95790,N/A
2013,1,10,23,30,N/A,149.37,10.69,0.55,95680,N/A
2013,1,11,0,30,N/A,148.11,10.56,0.9400000000000001,95530,N/A
2013,1,11,1,30,N/A,155.02,9.67,1.18,95490,N/A
2013,1,11,2,30,N/A,154.82,9.49,1.62,95410,N/A
2013,1,11,3,30,N/A,155.79,9.38,1.93,95370,N/A
2013,1,11,4,30,N/A,175.83,9.13,3.69,95280,N/A
2013,1,11,5,30,N/A,210.49,9.13,3.99,95270,N/A
2013,1,11,6,30,N/A,227.61,8.540000000000001,4.21,95240,N/A
2013,1,11,7,30,N/A,220.11,8.28,4.78,95220,N/A
2013,1,11,8,30,N/A,213.48000000000002,8.45,4.8500000000000005,95210,N/A
2013,1,11,9,30,N/A,197.8,9.75,3.58,95190,N/A
2013,1,11,10,30,N/A,202.18,10.13,4.5,95170,N/A
2013,1,11,11,30,N/A,200.81,9.43,4.97,95140,N/A
2013,1,11,12,30,N/A,186.16,9.08,5.36,95110,N/A
2013,1,11,13,30,N/A,180.36,11.22,5.13,95050,N/A
2013,1,11,14,30,N/A,181.1,12.32,5.53,95020,N/A
2013,1,11,15,30,N/A,174.9,12.34,6.140000000000001,94960,N/A
2013,1,11,16,30,N/A,174.24,12.38,6.37,94960,N/A
2013,1,11,17,30,N/A,174.04,13.450000000000001,6.65,94940,N/A
2013,1,11,18,30,N/A,175.61,13.63,7.33,94940,N/A
2013,1,11,19,30,N/A,178.83,11.9,7.57,94950,N/A
2013,1,11,20,30,N/A,183,12.790000000000001,7.8500000000000005,94930,N/A
2013,1,11,21,30,N/A,192.68,14.9,8.34,94870,N/A
2013,1,11,22,30,N/A,193.61,15.700000000000001,8.35,94840,N/A
2013,1,11,23,30,N/A,196.94,15.56,8.59,94840,N/A
2013,1,12,0,30,N/A,202.28,15.200000000000001,8.57,94900,N/A
2013,1,12,1,30,N/A,204.64000000000001,15.8,8.76,94910,N/A
2013,1,12,2,30,N/A,206.1,15.790000000000001,8.540000000000001,94950,N/A
2013,1,12,3,30,N/A,211.20000000000002,14.84,7.86,94990,N/A
2013,1,12,4,30,N/A,226.63,13.01,7.0600000000000005,95100,N/A
2013,1,12,5,30,N/A,238.43,15.23,4.51,95240,N/A
2013,1,12,6,30,N/A,241.9,12.32,1.3900000000000001,95390,N/A
