SiteID,1745739,Site Timezone,-6,Data Timezone,0,Longitude,-87.6826171875,Latitude,35.2915306091
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,7,8,30,N/A,295.88,5.71,-13.870000000000001,98420,N/A
2014,1,7,9,30,N/A,296.95,5.99,-13.69,98440,N/A
2014,1,7,10,30,N/A,295.01,5.43,-13.530000000000001,98470,N/A
2014,1,7,11,30,N/A,297.15000000000003,4.8,-13.41,98490,N/A
2014,1,7,12,30,N/A,300.13,4.68,-13.27,98500,N/A
2014,1,7,13,30,N/A,304.05,5.14,-13.16,98500,N/A
2014,1,7,14,30,N/A,307.93,3.95,-12.75,98500,N/A
2014,1,7,15,30,N/A,303.63,3.47,-11.88,98490,N/A
2014,1,7,16,30,N/A,291.38,2.97,-10.69,98440,N/A
2014,1,7,17,30,N/A,287.68,2.9,-9.42,98400,N/A
2014,1,7,18,30,N/A,268.87,3.04,-8.27,98370,N/A
2014,1,7,19,30,N/A,250.87,2.91,-6.93,98320,N/A
2014,1,7,20,30,N/A,245.71,3.09,-6.21,98270,N/A
2014,1,7,21,30,N/A,219.92000000000002,3.86,-5.72,98250,N/A
2014,1,7,22,30,N/A,212.51,4.9,-5.62,98250,N/A
2014,1,7,23,30,N/A,199.52,5.65,-5.8,98250,N/A
2014,1,8,0,30,N/A,190.77,7.24,-5.89,98240,N/A
2014,1,8,1,30,N/A,196.61,8.57,-5.8,98240,N/A
2014,1,8,2,30,N/A,195.35,8.42,-5.87,98240,N/A
2014,1,8,3,30,N/A,196.24,8.96,-5.86,98240,N/A
2014,1,8,4,30,N/A,196.22,8.35,-5.89,98230,N/A
2014,1,8,5,30,N/A,196,8.08,-5.82,98240,N/A
2014,1,8,6,30,N/A,197.27,7.62,-5.74,98270,N/A
2014,1,8,7,30,N/A,201.56,7.46,-5.61,98280,N/A
2014,1,8,8,30,N/A,204.28,7.26,-5.54,98290,N/A
2014,1,8,9,30,N/A,204.36,7.12,-5.39,98300,N/A
2014,1,8,10,30,N/A,202.45000000000002,6.8,-5.24,98330,N/A
2014,1,8,11,30,N/A,196.45000000000002,6.49,-5.2700000000000005,98340,N/A
2014,1,8,12,30,N/A,190.15,6.76,-5.33,98360,N/A
2014,1,8,13,30,N/A,189.16,6.61,-5.07,98370,N/A
2014,1,8,14,30,N/A,187.43,5.28,-4.59,98380,N/A
2014,1,8,15,30,N/A,183.74,3.81,-3.0300000000000002,98380,N/A
2014,1,8,16,30,N/A,180.14000000000001,3.5100000000000002,-1.46,98350,N/A
2014,1,8,17,30,N/A,176.26,3.38,0.14,98310,N/A
2014,1,8,18,30,N/A,173.86,3.41,1.36,98260,N/A
2014,1,8,19,30,N/A,164.4,3.67,2.18,98220,N/A
2014,1,8,20,30,N/A,165.9,4.24,2.54,98200,N/A
2014,1,8,21,30,N/A,163.79,4.63,2.46,98160,N/A
2014,1,8,22,30,N/A,155.5,6.05,2.02,98170,N/A
2014,1,8,23,30,N/A,151.68,7.34,1.67,98170,N/A
2014,1,9,0,30,N/A,150.17000000000002,8.91,1.25,98180,N/A
2014,1,9,1,30,N/A,158.81,8.540000000000001,1.2,98200,N/A
2014,1,9,2,30,N/A,167.67000000000002,8.17,1.17,98210,N/A
